Document Name,Clause No.,Clause from Loan Agreement,Notes (not a tag),Tag 1: Applicability,Tag 2: Area,Tag 3: Covenant Type,Tag 4: Covenant Title Tag,Tag 5: Covenant Description/ Sub tags,Tag 6: User Defined(256 characters only),Backup Document,Compliance Frequency,Start Date,Submission Period,End Date,Threshold,Priority,Event
Loan Agreement,4.2.10,"4.2.10.	Delivery of the title deeds relating to the immovable properties of the Project to the Secured Parties and the execution of the Memorandum of Entry recording the deposit of title deeds in relation to the immovable properties of the Project on adequate stamp paper, within 15 (Fifteen) days from Initial Drawdown Date, in a form and manner acceptable to the Secured Parties;",MoE is for security,Post-Disbursement (CS),Security,Non Financial - Informative,Security Related,Title Deeds,PDC(1),Title Deeds,Event Based,First Drawdown,15,,,High,
Loan Agreement,4.2.10,"4.2.10.	Delivery of the title deeds relating to the immovable properties of the Project to the Secured Parties and the execution of the Memorandum of Entry recording the deposit of title deeds in relation to the immovable properties of the Project on adequate stamp paper, within 15 (Fifteen) days from Initial Drawdown Date, in a form and manner acceptable to the Secured Parties;",MoE is for security,Post-Disbursement (CS),Legal,Non Financial - Informative,Legal Documents,MOE,PDC(1),MOE,Event Based,First Drawdown,15,,,,
Loan Agreement,4.2.11 a,"4.2.11.	Execution of the following Financing  Documents under the common seal of the Borrower and/or the Major Shareholders (to the extent applicable) on adequate stamp paper:

a.	A notarized Director Declaration within 15 (Fifteen) days from Initial Drawdown Date in favour of the Security Agent acting for the benefit of the Secured Parties; 
",,Post-Disbursement (CS),Legal,Non Financial - Informative,Legal Documents,Director Declaration,PDC(1),Director Declaration,Event Based,First Drawdown,15,,,High,
Loan Agreement,4.2.11 b,"4.2.11.	Execution of the following Financing  Documents under the common seal of the Borrower and/or the Major Shareholders (to the extent applicable) on adequate stamp paper:

b.	Pledge Agreement within 30 (Thirty) days from the Initial Drawdown Date; and",pledge agreement for security,Post-Disbursement (CS),Legal,Non Financial - Informative,Legal Documents,Pledge Agreement,PDC(1),Pledge Agreement,Event Based,First Drawdown,30,,,High,
Loan Agreement,4.2.11 c,"4.2.11.	Execution of the following Financing  Documents under the common seal of the Borrower and/or the Major Shareholders (to the extent applicable) on adequate stamp paper:

c.	Fax cum email Indemnity within 30 (Thirty) days from the Initial Drawdown Date.",pledge agreement for security,Post-Disbursement (CS),Legal,Non Financial - Informative,Legal Documents,"Email Idemnity, Fax Idemnity",PDC(1),"Fax Idemnity, Email Idemnity",Event Based,First Drawdown,30,,,,
Loan Agreement,4.2.12,"4.2.12.	The Borrower shall have executed the Hotel Management Agreement with Mariott within 1 (One) year from September 15, 2011 and a certified true copy of the same shall have been delivered to the Facility Agent.",,Post-Disbursement (CS),Technical,Non Financial-Representation,Sector ,Revenue Agreement,PDC(1),Revenue Agreement,One Time,"September 15, 2011",1 year,,,High,
Loan Agreement,"4.2.13 a,b","4.2.13.	Within 15 (Fifteen) days from the Initial Drawdown Date, filing and receipt by the Facility Agent of a certified true copy of Form 8 filed with the Registrar of Companies, West Bengal for registration of first charge on: 

(a)	current assets and movable fixed assets pertaining to the Project present and future within 15 (Fifteen) days from Initial Drawdown Date in accordance with the terms of the Financing Documents; and

(b)	on immoveable fixed assets pertaining to the Project present and future within 15 (Fifteen) days from Initial Drawdown Date",form 8 - MCA filing,Post-Disbursement (CS),Security,Non Financial - Informative,Statutory Documents,ROC Filing,PDC(1),ROC Filing,Event Based,First Drawdown,15,,,Medium,
Loan Agreement,4.2.14,"4.2.14.	Receipt by the Security Agent of a certified true copy of the pledge request forms submitted by the Major Shareholders to their respective depository participants for pledging shares of the Borrower, as acknowledged by the relevant depository participant, within 30 (Thirty) days of the Initial Drawdown Date.",,Post-Disbursement (CS),Informative,Non Financial - Informative,Security Related,Pledge,PDC(1),Pledge Request Form,Event Based,First Drawdown,30,,,High,
Loan Agreement,4.2.15,"4.2.15.	Receipt by the Facility Agent of a certified true copy of the resolution of the shareholders of the Borrower and the Major Shareholders under Section 372 A of the Companies Act within 45 (Forty Five) Days of the Initial Drawdown Date; 
",,Post-Disbursement (CS),Informative,Non Financial - Informative,Confirmation Documents,Shareholder Resolution,PDC(1),Shareholder Resolution,Event Based,First Drawdown,45,,,High,
Loan Agreement,4.2.16,"4.2.16.	Receipt by the Facility Agent of a certificate from a Chartered Accountant certifying that total guarantees / Securities issued by the Borrower and/or the Major Shareholders is within the limits specified under Section 372 A of the Companies Act within 45 (Forty Five) Days of the Initial Drawdown Date",,Post-Disbursement (CS),Informative,Non Financial - Informative,Certificate,CA Certificate,PDC(1),CA Certificate,Event Based,First Drawdown,45,,,Low,
Loan Agreement,4.2.17,"4.2.17.	Appointment of the Rupee Lender’s Engineer and the Rupee Lenders’ Engineer shall certify the Project progress report and the successful operations after commissioning of the Project in a form acceptable to the Lenders. ",,Pre-Disbursement (CP),Technical,Non Financial - Informative,Consultant Appointment,Lenders Engineer,PDC(1),Engagement Letter,Event Based,First Drawdown,,,,High,
Loan Agreement,4.2.17,"4.2.17.	Appointment of the Rupee Lender’s Engineer and the Rupee Lenders’ Engineer shall certify the Project progress report and the successful operations after commissioning of the Project in a form acceptable to the Lenders. ",,Post-Disbursement (CS),Technical,Non Financial - Informative,Reports,LIE Report,PDC(1),LIE Report,Quarterly,First Drawdown,30,COD,,Low,
Loan Agreement,4.3.1,"4.3.	Conditions Precedent to all Drawdowns (including First Drawdown)

The obligation of the Rupee Lenders to make available their respective Drawdown obligations pursuant to this Agreement shall become effective upon the Borrower fulfilling to the satisfaction of the Rupee Lenders (unless any waiver is granted by the Rupee Lenders) all of the following conditions:

4.3.1.	Receipt of a certified true copy of an undertaking from the Company under its common seal confirming that the Company has not redeemed any equity shares, preference shares, unsecured loans, debentures and not made any payments restricted under the Project Documents during the term of the Facility without the prior written consent of the Secured Parties. ",,Pre-Disbursement (CP),Informative,Non Financial - Informative,Legal Documents,Borrower Undertaking,PDC(1-n),Borrower Undertaking,Event Based,Drawdown Request (1-n),,,,High,
Loan Agreement,4.3.2,"4.3.2.	Receipt of the latest net worth statement of the Personal Guarantors duly certified by a Chartered Accountant along with self-attested income tax return and/or wealth tax return shall be furnished in favour of the Secured Parties.",,Pre-Disbursement (CP),Informative,Non Financial - Informative,Certificate,Networth Certificate,PDC(1-n),Guarantor Networth Certificate- CA,Event Based,Drawdown Request (1-n),,,,High,
Loan Agreement,4.3.2,"4.3.2.	Receipt of the latest net worth statement of the Personal Guarantors duly certified by a Chartered Accountant along with self-attested income tax return and/or wealth tax return shall be furnished in favour of the Secured Parties.",,Pre-Disbursement (CP),Informative,Non Financial - Informative,Statutory Documents,Income Tax - Guarantors,PDC(1-n),Tax Returns,Event Based,Drawdown Request (1-n),,,,High,
Loan Agreement,4.3.3,"4.3.3.	The Borrower shall have submitted to the Facility Agent a certificate from its company secretary or Auditor certifying that the equity contributions required to be made and maintained by the Major Shareholders under the terms of the Financing Documents have been made by way of equity shares of the Borrower.",equity contribution-Financial,Pre-Disbursement (CP),Financial,Financial - Informative,Management Confirmation,Certificate by Authorized Officer,PDC(1-n),Certificate from Authorized Officer,Event Based,Drawdown Request (1-n),,,,High,
Loan Agreement,4.3.4,"4.3.4.	Receipt of a certificate from a Chartered Accountant confirming that the Debt to Equity ratio of the Borrower would not exceed 1.54:1 after the relevant Drawdown in accordance with the terms of this Agreement.",,Pre-Disbursement (CP),Financial,Financial -Affirmative,Certificate,CA Certificate,PDC(1-n),CA Certificate,Event Based,Drawdown Request (1-n),,,,High,
Loan Agreement,4.3.5,"4.3.5.	Receipt of an undertaking from the Borrower confirming that the Project is free from any Legal Proceedings on adequate stamp paper in accordance with applicable Laws and Regulations. ",,Pre-Disbursement (CP),Legal,Non Financial - Affirmative,Management Confirmation,No Litigation,PDC(1-n),Certificate from Authorized Officer,Event Based,Drawdown Request (1-n),,,,High,
Loan Agreement,4.3.6,"4.3.6.	Receipt of a declaration from the Borrower stating that none of its subsidiaries are appearing in CIBIL’s defaulter list.",,Pre-Disbursement (CP),Informative,Non Financial - Negative,Management Confirmation,No Default,PDC(1-n),Certificate from Authorized Officer,Event Based,Drawdown Request (1-n),,,,High,
Loan Agreement,4.3.7,"4.3.7.	The Borrower hereby agrees and undertakes to provide evidence, in such manner as may be required by the Facility Agent and/or the Rupee Lenders, that there is no Event of Default or Potential Event of Default by the Borrower or the Major Shareholders under the Project Documents or any event of default or potential event of default under any other existing borrowing(s) of the Borrower and the Major Shareholders.",,Pre-Disbursement (CP),Informative,Non Financial - Negative,Management Confirmation,No Default,PDC(1-n),Management Confirmation(s),Event Based,Drawdown Request (1-n),,,,High,
Loan Agreement,4.4,"4.4.	The Parties agree that, the Rupee Lenders’ Engineer will be appointed with 3 (Three) months from Financial Closure and the Lender’s Engineer upon appointment shall review the Project and certify to the Rupee Lenders, as to the status of the progress of the Project and the successful operations after commissioning of the Project in a form satisfactory to the Rupee Lenders.",,Pre-Disbursement (CP),Technical,Non Financial - Informative,Consultant Appointment,Lenders Engineer,PDC(1-n),Engagement Letter,One Time,Financial Closure Date,90,,,Low,
Loan Agreement,4.4,"4.4.	The Parties agree that, the Rupee Lenders’ Engineer will be appointed with 3 (Three) months from Financial Closure and the Lender’s Engineer upon appointment shall review the Project and certify to the Rupee Lenders, as to the status of the progress of the Project and the successful operations after commissioning of the Project in a form satisfactory to the Rupee Lenders.",second part is not a direct ask but interpretation,Post-Disbursement (CS),Technical,Non Financial - Informative,Reports,LIE Report,PDC(1-n),LIE Report,Quarterly,First Drawdown,30,COD,,Medium,
Loan Agreement,4.5,"4.5.	No Rupee Lender shall be under an obligation to make an Advance in a manner contrary to or inconsistent with this Clause 4. Further, within 30 (Thirty) days from the date of each Drawdown, the Borrower shall procure a certificate from its Chartered Accountant confirming that the Advances have been utilized in compliance with the terms of this Agreement. ",end use certificate is fund/advance/last disburesement amount utilization related,Post-Disbursement (CS),Financial,Financial -Affirmative,Certificate,End Use Certificate,PDC(1-n),CA Certificate,Event Based,Each Disbursement,30,,,High,
Loan Agreement,10.1.1.,"Security: 10.1.	The Borrower shall secure the Facility Amount together with all interest, liquidated damages, costs, charges and expenses and all other moneys whatsoever due and payable under the Financing Documents, by creating the following securities (collectively referred to as “Security”) in favour of the Security Agent acting for the benefit of the Secured Parties, in a form and manner acceptable to the Secured Parties:

10.1.1.	Equitable mortgage on a pari passu basis on the land and building of Borrower relating to the Project (both present and future) providing a security cover equal to 1.5 (One and a Half) times of the Facility Amount;",Security - non financial informative,Full Lifecycle,Security,Non Financial - Informative,Security,Mortgage,,Security Documents,One Time,Document Execution Date,,,,,
Loan Agreement,10.1.2,"10.1.2.	First charge on a pari passu basis on all current assets and fixed assets (both present and future) of the Borrower pertaining to the Project, including over the Accounts and all amounts lying in the Accounts;
",Security - non financial informative,Full Lifecycle,Security,Non Financial - Informative,Security,Current Assets,,Security Documents,One Time,Document Execution Date,,,,,
Loan Agreement,10.1.3,"10.1.3.	First charge on a pari passu basis, by way of pledge of 30% (Thirty Percent) of the total issued and paid up share capital of the Borrower in accordance with the terms of the Pledge Agreement; ",Security - non financial informative,Full Lifecycle,Security,Non Financial - Informative,Security,Pledge,,Security Documents,One Time,Document Execution Date,,,,,
Loan Agreement,10.1.4,"10.1.4.	Non Disposal Undertakings in favour of the Security Agent acting for the benefit of the Secured Parties in relation to the balance total issued and paid up share capital of the Borrower. The Rupee Lenders agree that the Non Disposal Undertaking shall rank pari passu inter-se the Rupee Lenders;",Security - non financial informative,Full Lifecycle,Security,Non Financial - Informative,Security,NDU,,Security Documents,One Time,Document Execution Date,,,,High,
Loan Agreement,10.1.5,"10.1.5.	Unconditional and Irrevocable Personal Guarantees from the Personal Guarantors for the tenor of the Facility; and",,Full Lifecycle,Security,Non Financial - Informative,Security,Personal Guarantee,,Security Documents,One Time,Document Execution Date,,,,High,
Loan Agreement,10.1.6,"10.1.6.	First charge on a pari passu basis on the Debt Service Reserve Account. ",,Full Lifecycle,Security,Financial - Informative,Security,DSRA,,Security Documents,One Time,Document Execution Date,,,,High,
Loan Agreement,10.5,"10.5.	Until the Final Settlement Date, the Borrower undertakes to notify the Rupee Lenders and/or the Security Agent in writing of all its acquisitions of immoveable properties and as soon as practicable thereafter to make out a marketable title to the satisfaction of the Rupee Lenders and mortgage the same in favour of the Security Agent acting for the benefit of the Secured Parties by way of a first mortgage, in such form and manner as may be decided by the Security Agent.",,Full Lifecycle,Security,Non Financial - Informative,Security Related,Additional Security,,Official Documents,Event Based,,,,,High,
Loan Agreement,10.7,"10.7.	If at any time during the tenor of the Facility, the value of the said Securities falls so as to create a deficiency in the Security Margin or any other requirement specified by the Rupee Lenders from time to time or if Outstandings from the Rupee Lenders is in excess over the Facility Amount, the Borrower shall within 7 (Seven) days of notice from the Rupee Lenders and/or the Facility Agent, deposit with the Security Agent additional Security in the form of cash or such other Securities which may be acceptable to the Rupee Lenders, failing which the Rupee Lenders may at its discretion sell, dispose off or realise any or all of the said Securities through the Security Agent without being liable for any loss or damage or diminution in value sustained thereby.",1) from time to time- Quarterly 2)form of cash - Financial,Full Lifecycle,Security,Financial - Informative,Security Related,Security Deficiency,,Official Documents,Quarterly,Financial Covenant Testing,7,,,High,
Loan Agreement,10.11,"10.11.	The Borrower shall ensure registration of charge with the Registrar of Companies (“ROC”) within the stipulated time and shall furnish the necessary proof in this regard as and when required by the Rupee Lenders.",,Full Lifecycle,Security,Non Financial - Informative,Statutory Documents,ROC Charge Filing,,MCA Filings,One Time,Document Execution Date,30,,,,
Loan Agreement,10.12c,"(c)	The Parties hereby agree that the Debt Service Reserve Account for an amount equivalent to 1(One) Quarter principal amount payable on the Facility shall be created 1 (One) Fiscal Quarter prior to the start of repayment of the Facility and the Debt Service Reserve Account for an amount equivalent to 1(One) quarter interest payable on the Facility shall be created three months prior to Commercial Operations Date (COD) and shall be maintained till the Final Settlement Date. The amounts deposited in the Accounts shall be utilised in the manner and priority determined by the Rupee Lenders and as set out in the Escrow Agreement.  Any transfer or utilisation of the funds from any of the Accounts shall be made strictly as per the mandate drawn up between the Borrower and the Rupee Lenders.",,Full Lifecycle,Security,Financial - Informative,Security Related,DSRA,,DSRA,One Time,First Repayment Date,-90,,1 qtr principal,High,
Loan Agreement,10.12c,"(c)	The Parties hereby agree that the Debt Service Reserve Account for an amount equivalent to 1(One) Quarter principal amount payable on the Facility shall be created 1 (One) Fiscal Quarter prior to the start of repayment of the Facility and the Debt Service Reserve Account for an amount equivalent to 1(One) quarter interest payable on the Facility shall be created three months prior to Commercial Operations Date (COD) and shall be maintained till the Final Settlement Date. The amounts deposited in the Accounts shall be utilised in the manner and priority determined by the Rupee Lenders and as set out in the Escrow Agreement.  Any transfer or utilisation of the funds from any of the Accounts shall be made strictly as per the mandate drawn up between the Borrower and the Rupee Lenders.",,Full Lifecycle,Security,Financial - Informative,Security Related,DSRA,,DSRA,Quarterly,COD,-90,,1 qtr interest,High,
Loan Agreement,10.12 (d),"(d)	The Borrower shall close all the accounts of whatsoever nature opened by the Borrower with any bank other than the Escrow Agent including but not limited to the accounts  wherein the Cash Inflows for the Project are deposited, or where part of the Disbursement from some of the Rupee Lenders prior to establishment of the Accounts or execution of Financing Documents is deposited, and all such amounts shall be deposited in the Accounts simultaneously upon execution of this Agreement and the Borrower shall also ensure that all Cash Inflow relating to the Project received by the Borrower are deposited in the Account immediately upon receipt of the same. The Borrower and the Major Shareholders further agrees and undertakes that, till the Final Settlement Date, all Cash Inflows shall be deposited forthwith by the Borrower into the Account at the time and in the manner required under the Financing Documents.",,Full Lifecycle,Security,Financial - Informative,Management Confirmation,Certificate by Authorized Officer,,Management Confirmation(s),Event Based,First Drawdown,90,,,High,
Loan Agreement,11.1 (a),"11.1.	The Borrower hereby represents and warrants as under:

(a)	That it is duly incorporated under the laws of country of incorporation with the power to enter into and exercise its rights and perform its obligations under this Agreement and the other Financing Documents;",All reps and warranties we are clubbing as Non Financial- Representation and submission period as 10 days if not given in clause,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Leally Incorporated,,Certificate from authorized officer,Monthly,Document Execution Date,10,,,High,
Loan Agreement,11.1 (b),"
(b)	That all actions (internal or external) required to authorize execution of this Agreement and/or the Financing Documents by the Borrower and performance of its obligations under this Agreement and the other Financing Documents have been duly taken and the exercise of its rights and performance of its obligations under this Agreement and the Financing Documents will neither contravene any Law or Regulations to which it is subject to nor cause it to be in breach of or default under any agreement/document/ Memorandum of Association/ Articles of Association binding on it or any of its assets; 
",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Applicable Laws,,Certificate from authorized officer,Monthly,Document Execution Date,10,,,High,
Loan Agreement,11.1 (c),"(c)	That its obligations under this Agreement and the Financing Documents are legal, valid, binding and enforceable against it;

",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Applicable Laws,,Certificate from authorized officer,Monthly,Document Execution Date,10,,,High,
Loan Agreement,11.1 (d),"(d)	That all approvals, permissions, waivers, consents, confirmations or corporate authorizations including approvals, permissions, waivers, consents, confirmations or corporate authorizations from Governmental Authorities requisite for execution, delivery and performance of its obligations under this Agreement, the Financing Documents and the Project Documents have been obtained and are in full force and effect; 
",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Valid Approvals,,Certificate from authorized officer,Monthly,Document Execution Date,10,,,High,
Loan Agreement,11.1 (e),"
(e)	That the Borrower or their partners/directors/trustees are not facing any litigation which have been initiated by another financier including banking companies;
",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,No Litigation,,Certificate from authorized officer,Monthly,Document Execution Date,10,,,High,
Loan Agreement,11.1 (f),"
(f)	That the Facility is not being availed for any activities relating to producing or consuming ozone depleting substances, in terms of Montreal Protocol to which Government of India is a part. Further that the Project/ Borrower are compliant with various environment laws and has obtained all relevant environmental clearances for the proposed Project. That the Borrower has instituted and shall from time to time institute appropriate monitoring, evaluation and reporting process and confirms that the Project does not/ shall not have any negative environment or social impact and appropriate corrective measures shall be taken as recommended by relevant Governmental Authorities;",,Full Lifecycle,Environmental,Non Financial-Representation,Representations & Warranties,Valid Approvals,,Certificate from authorized officer,Monthly,Document Execution Date,10,,,,
Loan Agreement,11.1 (g),"(g)	None of the Borrower’s director is a director or a Relative of a director of a banking company;",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,No relation to director,,Certificate from authorized officer,Monthly,Document Execution Date,10,,,,
Loan Agreement,11.1 (h),"(h)	None of the Borrower’s director is a Relative of any senior officer of Rupee Lender; and",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,No relation to senior officer,,Certificate from authorized officer,Monthly,Document Execution Date,10,,,,
Loan Agreement,11.1 (i),"(i)	None of its subsidiaries or associate companies or group companies have been identified or classified as a defaulter.
",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,No Default,,Certificate from authorized officer,Monthly,Document Execution Date,10,,,,
Loan Agreement,11.1 (j),"(j)	That each of these representations will remain correct and complied with so long as the Facility and/or any sum there under remain outstanding",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,True Information,,Certificate from authorized officer,Monthly,Document Execution Date,10,,,,
Loan Agreement,12.1 (a),"12.1.	Affirmative Covenants: The Borrower hereby agrees, declares and undertakes that:

(a)	The Borrower has a clear and marketable title/ clear and transferable interest over the above assets relating to the Project including the assets constituting the Security and further assures the Rupee Lenders that the same is free from any prior charge, lien or encumbrance. ","clear title constituting the securtiy, but does not state creation or perfection of security- Legal",Full Lifecycle,Legal,Non Financial - Affirmative,Management Confirmation,Clear Title Confirmation,,Management Confirmation(s),Monthly,Document Execution Date,10,,,Medium,
Loan Agreement,12.1 (b),"(b)	 During the tenor of the Facility, it shall maintain title to or its interest in all of its property and assets including the assets constituting the Security and shall take all actions necessary to create and perfect at all times, rights in the Project including any actions as deemed to be necessary in the judgment of the Facility Agent or any of the Rupee Lenders. ",,Full Lifecycle,Security,Non Financial - Affirmative,Management Confirmation,"Security Creation, Security Perfection",,Management Confirmation(s),Monthly,Document Execution Date,10,,,Medium,
Loan Agreement,12.1 (c),"(c)	The Project shall be completed by not later than December 31, 2014.",,Operations,Informative,Non Financial - Affirmative,Management Confirmation,Other Document,,Management Confirmation(s),One Time,"COD or Dec 31, which ever is earlier",,,,Medium,
Loan Agreement,12.1 (d),"(d)	The Rupee Lender’s Engineer shall be appointed within 3 (Three) months from Financial Closure.",Financial Closure- All sanctions done,Post-Disbursement (CS),Technical,Non Financial - Affirmative,Consultant Appointment,Lenders Engineer,,Engagement Letter,One Time,Document Execution Date,90,,,Medium,Same as 4.4
Loan Agreement,12.1 (e),"(e)	The Borrower Shall route all cash flows related to the Project through an Account maintained with the Security Agent in accordance with the Escrow Agreement.",Escrow Agreement related to TRA,Full Lifecycle,Financial,Non Financial - Affirmative,Management Confirmation,Operating TRA,,Management Confirmation(s),Monthly,Document Execution Date,,,,Medium,
Loan Agreement,12.1 (f),"(f)	The Borrower shall allow the representatives and/or nominees of the Rupee Lenders to visit and inspect from time to time the Project for which the Facility is sought or the Borrower’s premises, factories and other property/ assets, books of accounts and all other relevant accounts, documents and records. The costs and expenses of such visits and/or inspections shall be paid and borne by the Borrower. The Borrower agrees that any such representatives and/or nominees of the Rupee Lenders shall receive full cooperation and assistance from the employees of the Borrower. ",,Full Lifecycle,Informative,Non Financial - Affirmative,Management Confirmation,Inspection,,Management Confirmation(s),Event Based,Document Execution Date,,,,Medium,
Loan Agreement,12.1 (g),"(g)	The Borrower shall also furnish from time to time such reports, explanations or elucidations on its working in general or in relation to the Project financed by the Rupee Lenders as and when may be asked and in the form and manner acceptable to the Rupee Lenders or their officials.",as and when asked - event based,Full Lifecycle,Informative,Non Financial - Affirmative,Reports,Expert Report,,Expert Report,Event Based,Document Execution Date,,,,Medium,
Loan Agreement,12.1 (h),"(h)	The Borrower will, at its own expense execute necessary demand promissory notes in favour of the Facility Agent and the Rupee Lender and such further documents, forms and papers as the Rupee Lenders may in its discretion from time to time require in a form and manner acceptable to the Rupee Lenders.","demand promissory note. I owe you, one page document",Full Lifecycle,Legal,Non Financial - Affirmative,Legal Documents,DPN,,DPN,One Time,Document Execution Date,,,,Medium,
Loan Agreement,12.1 (i),"(i)	The Borrower will furnish to the Rupee Lenders all such information, statements, particulars, estimates and reports and any other information as may be required in relation to the Borrower’s business, assets and financial conditions as the Rupee Lenders may require from time to time for any purpose in connection with the Facility including for adjudging the compliance by the Borrower with the terms of the Facility.",,Full Lifecycle,Informative,Non Financial - Affirmative,Reports,Expert Report,,Expert Report,Event Based,Document Execution Date,,,,Medium,
Loan Agreement,12.1 (j) (i),"(j)	The Borrower shall also submit to the Rupee Lenders, in form and detail satisfactory to the Rupee Lenders on a regular basis:

(i)	Un-audited half yearly income statements of the Borrower and the Major Shareholders within 60 (sixty) days of the close of each semi-annual period;",,Full Lifecycle,Financial,Financial - Informative,Financial Statements,Annual Results - Unaudited,,Annual Results - Unaudited,Semi Annual,Document Execution Date,60,Maturity Date,,Medium,
